uf,data,preco_medio,desvio_padrao
CEARA,2004-06-06,2.147,0.078
MARANHAO,2004-06-06,2.082,0.104
PARAIBA,2004-06-06,1.999,0.052000000000000005
PERNAMBUCO,2004-06-06,2.014,0.063
PIAUI,2004-06-06,2.12,0.038
RIO GRANDE DO NORTE,2004-06-06,1.949,0.06
SERGIPE,2004-06-06,1.988,0.041
ACRE,2004-06-06,2.437,0.163
AMAPA,2004-06-06,2.337,0.123
AMAZONAS,2004-06-06,2.059,0.1
PARA,2004-06-06,2.35,0.146
RONDONIA,2004-06-06,2.337,0.107
RORAIMA,2004-06-06,1.995,0.029
TOCANTINS,2004-06-06,2.105,0.102
ESPIRITO SANTO,2004-06-06,2.036,0.081
MINAS GERAIS,2004-06-06,2.005,0.098
RIO DE JANEIRO,2004-06-06,2.063,0.107
SAO PAULO,2004-06-06,1.919,0.08800000000000001
PARANA,2004-06-06,2.001,0.073
RIO GRANDE DO SUL,2004-06-06,2.1590000000000003,0.119
SANTA CATARINA,2004-06-06,2.085,0.066
DISTRITO FEDERAL,2004-06-13,2.037,0.054000000000000006
GOIAS,2004-06-13,2.051,0.101
MATO GROSSO,2004-06-13,2.4130000000000003,0.11
MATO GROSSO DO SUL,2004-06-13,2.161,0.07400000000000001
ALAGOAS,2004-06-13,2.119,0.045
BAHIA,2004-06-13,2.095,0.096
CEARA,2004-06-13,2.194,0.08800000000000001
MARANHAO,2004-06-13,2.1,0.118
PARAIBA,2004-06-13,2.026,0.07200000000000001
PERNAMBUCO,2004-06-13,2.031,0.084
PIAUI,2004-06-13,2.141,0.039
RIO GRANDE DO NORTE,2004-06-13,2.039,0.114
SERGIPE,2004-06-13,2.007,0.065
ACRE,2004-06-13,2.437,0.163
AMAPA,2004-06-13,2.376,0.093
AMAZONAS,2004-06-13,2.061,0.115
PARA,2004-06-13,2.373,0.149
RONDONIA,2004-06-13,2.349,0.126
RORAIMA,2004-06-13,2.009,0.039
TOCANTINS,2004-06-13,2.151,0.127
ESPIRITO SANTO,2004-06-13,2.051,0.102
MINAS GERAIS,2004-06-13,2.032,0.1
RIO DE JANEIRO,2004-06-13,2.085,0.118
SAO PAULO,2004-06-13,1.958,0.11
PARANA,2004-06-13,2.06,0.091
RIO GRANDE DO SUL,2004-06-13,2.2230000000000003,0.142
SANTA CATARINA,2004-06-13,2.123,0.076
DISTRITO FEDERAL,2004-06-20,2.096,0.012
GOIAS,2004-06-20,2.113,0.078
MATO GROSSO,2004-06-20,2.496,0.081
MATO GROSSO DO SUL,2004-06-20,2.25,0.061
ALAGOAS,2004-06-20,2.2230000000000003,0.042
BAHIA,2004-06-20,2.209,0.093
CEARA,2004-06-20,2.281,0.084
MARANHAO,2004-06-20,2.196,0.107
PARAIBA,2004-06-20,2.1,0.077
PERNAMBUCO,2004-06-20,2.1180000000000003,0.08
PIAUI,2004-06-20,2.212,0.042
RIO GRANDE DO NORTE,2004-06-20,2.151,0.068
SERGIPE,2004-06-20,2.1,0.033
ACRE,2004-06-20,2.482,0.147
AMAPA,2004-06-20,2.395,0.116
AMAZONAS,2004-06-20,2.187,0.062
PARA,2004-06-20,2.443,0.119
RONDONIA,2004-06-20,2.46,0.118
RORAIMA,2004-06-20,2.076,0.021
TOCANTINS,2004-06-20,2.194,0.067
ESPIRITO SANTO,2004-06-20,2.176,0.058
MINAS GERAIS,2004-06-20,2.104,0.099
RIO DE JANEIRO,2004-06-20,2.152,0.111
SAO PAULO,2004-06-20,2.036,0.093
PARANA,2004-06-20,2.123,0.068
RIO GRANDE DO SUL,2004-06-20,2.316,0.08900000000000001
SANTA CATARINA,2004-06-20,2.195,0.064
DISTRITO FEDERAL,2004-06-27,2.093,0.02
GOIAS,2004-06-27,2.093,0.095
MATO GROSSO,2004-06-27,2.508,0.071
MATO GROSSO DO SUL,2004-06-27,2.257,0.042
ALAGOAS,2004-06-27,2.216,0.043
BAHIA,2004-06-27,2.212,0.08900000000000001
CEARA,2004-06-27,2.28,0.08199999999999999
MARANHAO,2004-06-27,2.194,0.109
PARAIBA,2004-06-27,2.097,0.079
PERNAMBUCO,2004-06-27,2.099,0.092
PIAUI,2004-06-27,2.213,0.044
RIO GRANDE DO NORTE,2004-06-27,2.139,0.046
SERGIPE,2004-06-27,2.097,0.033
ACRE,2004-06-27,2.51,0.145
AMAPA,2004-06-27,2.4130000000000003,0.111
AMAZONAS,2004-06-27,2.188,0.071
PARA,2004-06-27,2.441,0.126
RONDONIA,2004-06-27,2.445,0.109
RORAIMA,2004-06-27,2.076,0.021
TOCANTINS,2004-06-27,2.216,0.059
ESPIRITO SANTO,2004-06-27,2.155,0.071
MINAS GERAIS,2004-06-27,2.102,0.096
RIO DE JANEIRO,2004-06-27,2.151,0.117
SAO PAULO,2004-06-27,2.033,0.092
PARANA,2004-06-27,2.109,0.08199999999999999
RIO GRANDE DO SUL,2004-06-27,2.289,0.098
SANTA CATARINA,2004-06-27,2.191,0.06
DISTRITO FEDERAL,2004-07-04,2.082,0.033
GOIAS,2004-07-04,2.085,0.119
MATO GROSSO,2004-07-04,2.515,0.063
MATO GROSSO DO SUL,2004-07-04,2.263,0.045
ALAGOAS,2004-07-04,2.213,0.04
BAHIA,2004-07-04,2.21,0.094
CEARA,2004-07-04,2.276,0.097
MARANHAO,2004-07-04,2.193,0.111
PARAIBA,2004-07-04,2.092,0.066
PERNAMBUCO,2004-07-04,2.092,0.108
PIAUI,2004-07-04,2.211,0.037000000000000005
RIO GRANDE DO NORTE,2004-07-04,2.129,0.047
SERGIPE,2004-07-04,2.1,0.031
ACRE,2004-07-04,2.522,0.14
AMAPA,2004-07-04,2.412,0.124
AMAZONAS,2004-07-04,2.193,0.067
PARA,2004-07-04,2.4330000000000003,0.128
RONDONIA,2004-07-04,2.4530000000000003,0.108
RORAIMA,2004-07-04,2.112,0.073
TOCANTINS,2004-07-04,2.215,0.057
ESPIRITO SANTO,2004-07-04,2.153,0.066
MINAS GERAIS,2004-07-04,2.104,0.099
RIO DE JANEIRO,2004-07-04,2.152,0.111
SAO PAULO,2004-07-04,2.032,0.08800000000000001
PARANA,2004-07-04,2.104,0.08800000000000001
RIO GRANDE DO SUL,2004-07-04,2.281,0.106
SANTA CATARINA,2004-07-04,2.188,0.059
DISTRITO FEDERAL,2004-07-11,1.981,0.059
GOIAS,2004-07-11,2.074,0.131
MATO GROSSO,2004-07-11,2.509,0.065
MATO GROSSO DO SUL,2004-07-11,2.269,0.035
ALAGOAS,2004-07-11,2.21,0.044
BAHIA,2004-07-11,2.214,0.09
CEARA,2004-07-11,2.264,0.136
MARANHAO,2004-07-11,2.187,0.114
PARAIBA,2004-07-11,2.099,0.047
PERNAMBUCO,2004-07-11,2.123,0.071
PIAUI,2004-07-11,2.206,0.043
RIO GRANDE DO NORTE,2004-07-11,2.112,0.052000000000000005
SERGIPE,2004-07-11,2.105,0.032
ACRE,2004-07-11,2.516,0.14
AMAPA,2004-07-11,2.412,0.124
AMAZONAS,2004-07-11,2.194,0.077
PARA,2004-07-11,2.419,0.14400000000000002
RONDONIA,2004-07-11,2.459,0.121
RORAIMA,2004-07-11,2.088,0.018000000000000002
TOCANTINS,2004-07-11,2.213,0.057
ESPIRITO SANTO,2004-07-11,2.147,0.066
MINAS GERAIS,2004-07-11,2.103,0.097
RIO DE JANEIRO,2004-07-11,2.15,0.112
SAO PAULO,2004-07-11,2.03,0.08900000000000001
PARANA,2004-07-11,2.096,0.101
RIO GRANDE DO SUL,2004-07-11,2.279,0.109
SANTA CATARINA,2004-07-11,2.187,0.059
DISTRITO FEDERAL,2004-07-18,1.936,0.08199999999999999
GOIAS,2004-07-18,2.097,0.077
MATO GROSSO,2004-07-18,2.511,0.067
MATO GROSSO DO SUL,2004-07-18,2.268,0.033
ALAGOAS,2004-07-18,2.206,0.043
BAHIA,2004-07-18,2.211,0.093
CEARA,2004-07-18,2.251,0.159
MARANHAO,2004-07-18,2.187,0.132
PARAIBA,2004-07-18,2.077,0.075
PERNAMBUCO,2004-07-18,2.0980000000000003,0.096
PIAUI,2004-07-18,2.206,0.046
RIO GRANDE DO NORTE,2004-07-18,2.099,0.063
SERGIPE,2004-07-18,2.103,0.032
ACRE,2004-07-18,2.5380000000000003,0.165
AMAPA,2004-07-18,2.4,0.122
AMAZONAS,2004-07-18,2.196,0.067
PARA,2004-07-18,2.42,0.14300000000000002
RONDONIA,2004-07-18,2.46,0.111
RORAIMA,2004-07-18,2.076,0.021
TOCANTINS,2004-07-18,2.22,0.056
ESPIRITO SANTO,2004-07-18,2.133,0.071
MINAS GERAIS,2004-07-18,2.102,0.1
RIO DE JANEIRO,2004-07-18,2.154,0.106
SAO PAULO,2004-07-18,2.03,0.086
PARANA,2004-07-18,2.091,0.105
RIO GRANDE DO SUL,2004-07-18,2.277,0.112
SANTA CATARINA,2004-07-18,2.186,0.058
DISTRITO FEDERAL,2004-07-25,2.116,0.014
GOIAS,2004-07-25,2.109,0.07200000000000001
MATO GROSSO,2004-07-25,2.518,0.069
MATO GROSSO DO SUL,2004-07-25,2.267,0.031
ALAGOAS,2004-07-25,2.206,0.045
BAHIA,2004-07-25,2.212,0.087
CEARA,2004-07-25,2.244,0.188
MARANHAO,2004-07-25,2.1830000000000003,0.147
PARAIBA,2004-07-25,2.067,0.091
PERNAMBUCO,2004-07-25,2.079,0.12
PIAUI,2004-07-25,2.2030000000000003,0.046
RIO GRANDE DO NORTE,2004-07-25,2.099,0.062
SERGIPE,2004-07-25,2.103,0.034
ACRE,2004-07-25,2.545,0.174
AMAPA,2004-07-25,2.401,0.129
AMAZONAS,2004-07-25,2.196,0.071
PARA,2004-07-25,2.417,0.159
RONDONIA,2004-07-25,2.458,0.126
RORAIMA,2004-07-25,2.111,0.018000000000000002
TOCANTINS,2004-07-25,2.222,0.059
ESPIRITO SANTO,2004-07-25,2.129,0.077
MINAS GERAIS,2004-07-25,2.102,0.099
RIO DE JANEIRO,2004-07-25,2.157,0.107
SAO PAULO,2004-07-25,2.028,0.08800000000000001
PARANA,2004-07-25,2.11,0.077
RIO GRANDE DO SUL,2004-07-25,2.275,0.114
SANTA CATARINA,2004-07-25,2.185,0.059
DISTRITO FEDERAL,2004-08-01,2.135,0.013
GOIAS,2004-08-01,2.12,0.054000000000000006
MATO GROSSO,2004-08-01,2.52,0.07
MATO GROSSO DO SUL,2004-08-01,2.289,0.043
ALAGOAS,2004-08-01,2.217,0.041
BAHIA,2004-08-01,2.21,0.091
CEARA,2004-08-01,2.287,0.083
MARANHAO,2004-08-01,2.18,0.161
PARAIBA,2004-08-01,2.075,0.068
PERNAMBUCO,2004-08-01,2.07,0.132
PIAUI,2004-08-01,2.2030000000000003,0.047
RIO GRANDE DO NORTE,2004-08-01,2.097,0.061
SERGIPE,2004-08-01,2.103,0.031
ACRE,2004-08-01,2.54,0.175
AMAPA,2004-08-01,2.376,0.116
AMAZONAS,2004-08-01,2.199,0.065
PARA,2004-08-01,2.418,0.152
RONDONIA,2004-08-01,2.47,0.119
RORAIMA,2004-08-01,2.083,0.019
TOCANTINS,2004-08-01,2.233,0.048
ESPIRITO SANTO,2004-08-01,2.129,0.083
MINAS GERAIS,2004-08-01,2.111,0.104
RIO DE JANEIRO,2004-08-01,2.162,0.104
SAO PAULO,2004-08-01,2.03,0.087
PARANA,2004-08-01,2.117,0.07200000000000001
RIO GRANDE DO SUL,2004-08-01,2.281,0.103
SANTA CATARINA,2004-08-01,2.188,0.052000000000000005
DISTRITO FEDERAL,2004-08-08,2.117,0.024
GOIAS,2004-08-08,2.133,0.061
MATO GROSSO,2004-08-08,2.531,0.071
MATO GROSSO DO SUL,2004-08-08,2.315,0.037000000000000005
