uf,data,preco_medio,desvio_padrao
PIAUI,2005-04-24,2.44,0.036000000000000004
RIO GRANDE DO NORTE,2005-04-24,2.257,0.07200000000000001
SERGIPE,2005-04-24,2.262,0.051
ACRE,2005-04-24,2.631,0.14300000000000002
AMAPA,2005-04-24,2.43,0.132
AMAZONAS,2005-04-24,2.4930000000000003,0.048
PARA,2005-04-24,2.411,0.166
RONDONIA,2005-04-24,2.5340000000000003,0.102
RORAIMA,2005-04-24,2.455,0.096
TOCANTINS,2005-04-24,2.452,0.048
ESPIRITO SANTO,2005-04-24,2.315,0.045
MINAS GERAIS,2005-04-24,2.216,0.108
RIO DE JANEIRO,2005-04-24,2.292,0.101
SAO PAULO,2005-04-24,2.188,0.08800000000000001
PARANA,2005-04-24,2.259,0.067
RIO GRANDE DO SUL,2005-04-24,2.557,0.092
SANTA CATARINA,2005-04-24,2.377,0.061
DISTRITO FEDERAL,2005-05-01,2.291,0.022
GOIAS,2005-05-01,2.268,0.14
MATO GROSSO,2005-05-01,2.67,0.146
MATO GROSSO DO SUL,2005-05-01,2.501,0.04
ALAGOAS,2005-05-01,2.452,0.059
BAHIA,2005-05-01,2.245,0.14800000000000002
CEARA,2005-05-01,2.436,0.053
MARANHAO,2005-05-01,2.279,0.096
PARAIBA,2005-05-01,2.197,0.104
PERNAMBUCO,2005-05-01,2.333,0.099
PIAUI,2005-05-01,2.439,0.037000000000000005
RIO GRANDE DO NORTE,2005-05-01,2.24,0.067
SERGIPE,2005-05-01,2.27,0.044
ACRE,2005-05-01,2.64,0.153
AMAPA,2005-05-01,2.419,0.131
AMAZONAS,2005-05-01,2.486,0.055
PARA,2005-05-01,2.401,0.177
RONDONIA,2005-05-01,2.515,0.114
RORAIMA,2005-05-01,2.374,0.086
TOCANTINS,2005-05-01,2.45,0.049
ESPIRITO SANTO,2005-05-01,2.31,0.047
MINAS GERAIS,2005-05-01,2.222,0.104
RIO DE JANEIRO,2005-05-01,2.2840000000000003,0.106
SAO PAULO,2005-05-01,2.186,0.08900000000000001
PARANA,2005-05-01,2.277,0.071
RIO GRANDE DO SUL,2005-05-01,2.5340000000000003,0.102
SANTA CATARINA,2005-05-01,2.381,0.057
DISTRITO FEDERAL,2005-05-08,2.286,0.012
GOIAS,2005-05-08,2.217,0.168
MATO GROSSO,2005-05-08,2.6660000000000004,0.147
MATO GROSSO DO SUL,2005-05-08,2.518,0.045
ALAGOAS,2005-05-08,2.483,0.059
BAHIA,2005-05-08,2.351,0.12
CEARA,2005-05-08,2.435,0.053
MARANHAO,2005-05-08,2.282,0.098
PARAIBA,2005-05-08,2.263,0.101
PERNAMBUCO,2005-05-08,2.324,0.106
PIAUI,2005-05-08,2.44,0.036000000000000004
RIO GRANDE DO NORTE,2005-05-08,2.231,0.071
SERGIPE,2005-05-08,2.261,0.053
ACRE,2005-05-08,2.642,0.16
AMAPA,2005-05-08,2.419,0.131
AMAZONAS,2005-05-08,2.4930000000000003,0.048
PARA,2005-05-08,2.414,0.17600000000000002
RONDONIA,2005-05-08,2.5340000000000003,0.104
RORAIMA,2005-05-08,2.377,0.07400000000000001
TOCANTINS,2005-05-08,2.447,0.047
ESPIRITO SANTO,2005-05-08,2.306,0.049
MINAS GERAIS,2005-05-08,2.197,0.118
RIO DE JANEIRO,2005-05-08,2.2880000000000003,0.103
SAO PAULO,2005-05-08,2.186,0.087
PARANA,2005-05-08,2.298,0.07
RIO GRANDE DO SUL,2005-05-08,2.513,0.116
SANTA CATARINA,2005-05-08,2.376,0.057
DISTRITO FEDERAL,2005-05-15,2.2840000000000003,0.02
GOIAS,2005-05-15,2.148,0.205
MATO GROSSO,2005-05-15,2.669,0.149
MATO GROSSO DO SUL,2005-05-15,2.498,0.045
ALAGOAS,2005-05-15,2.518,0.07
BAHIA,2005-05-15,2.371,0.103
CEARA,2005-05-15,2.428,0.054000000000000006
MARANHAO,2005-05-15,2.278,0.097
PARAIBA,2005-05-15,2.263,0.101
PERNAMBUCO,2005-05-15,2.261,0.123
PIAUI,2005-05-15,2.44,0.036000000000000004
RIO GRANDE DO NORTE,2005-05-15,2.234,0.068
SERGIPE,2005-05-15,2.27,0.046
ACRE,2005-05-15,2.636,0.158
AMAPA,2005-05-15,2.42,0.131
AMAZONAS,2005-05-15,2.486,0.055
PARA,2005-05-15,2.4090000000000003,0.171
RONDONIA,2005-05-15,2.514,0.114
RORAIMA,2005-05-15,2.517,0.049
TOCANTINS,2005-05-15,2.441,0.063
ESPIRITO SANTO,2005-05-15,2.303,0.052000000000000005
MINAS GERAIS,2005-05-15,2.202,0.113
RIO DE JANEIRO,2005-05-15,2.275,0.11
SAO PAULO,2005-05-15,2.175,0.08800000000000001
PARANA,2005-05-15,2.253,0.076
RIO GRANDE DO SUL,2005-05-15,2.499,0.126
SANTA CATARINA,2005-05-15,2.375,0.057
DISTRITO FEDERAL,2005-05-22,2.283,0.02
GOIAS,2005-05-22,2.334,0.111
MATO GROSSO,2005-05-22,2.685,0.101
MATO GROSSO DO SUL,2005-05-22,2.492,0.051
ALAGOAS,2005-05-22,2.518,0.064
BAHIA,2005-05-22,2.325,0.115
CEARA,2005-05-22,2.414,0.059
MARANHAO,2005-05-22,2.267,0.112
PARAIBA,2005-05-22,2.266,0.093
PERNAMBUCO,2005-05-22,2.177,0.154
PIAUI,2005-05-22,2.44,0.035
RIO GRANDE DO NORTE,2005-05-22,2.251,0.064
SERGIPE,2005-05-22,2.259,0.054000000000000006
ACRE,2005-05-22,2.608,0.173
AMAPA,2005-05-22,2.43,0.131
AMAZONAS,2005-05-22,2.4930000000000003,0.048
PARA,2005-05-22,2.412,0.18
RONDONIA,2005-05-22,2.53,0.102
RORAIMA,2005-05-22,2.518,0.049
TOCANTINS,2005-05-22,2.437,0.068
ESPIRITO SANTO,2005-05-22,2.299,0.053
MINAS GERAIS,2005-05-22,2.17,0.132
RIO DE JANEIRO,2005-05-22,2.278,0.106
SAO PAULO,2005-05-22,2.167,0.09
PARANA,2005-05-22,2.214,0.08199999999999999
RIO GRANDE DO SUL,2005-05-22,2.468,0.154
SANTA CATARINA,2005-05-22,2.37,0.057
DISTRITO FEDERAL,2005-05-29,2.277,0.025
GOIAS,2005-05-29,2.216,0.145
MATO GROSSO,2005-05-29,2.6860000000000004,0.096
MATO GROSSO DO SUL,2005-05-29,2.469,0.071
ALAGOAS,2005-05-29,2.517,0.068
BAHIA,2005-05-29,2.326,0.111
CEARA,2005-05-29,2.385,0.076
MARANHAO,2005-05-29,2.252,0.121
PARAIBA,2005-05-29,2.265,0.098
PERNAMBUCO,2005-05-29,2.335,0.111
PIAUI,2005-05-29,2.439,0.035
RIO GRANDE DO NORTE,2005-05-29,2.257,0.063
SERGIPE,2005-05-29,2.268,0.048
ACRE,2005-05-29,2.603,0.174
AMAPA,2005-05-29,2.4290000000000003,0.132
AMAZONAS,2005-05-29,2.486,0.054000000000000006
PARA,2005-05-29,2.392,0.189
RONDONIA,2005-05-29,2.503,0.121
RORAIMA,2005-05-29,2.518,0.047
TOCANTINS,2005-05-29,2.444,0.046
ESPIRITO SANTO,2005-05-29,2.292,0.055
MINAS GERAIS,2005-05-29,2.174,0.13
RIO DE JANEIRO,2005-05-29,2.266,0.112
SAO PAULO,2005-05-29,2.1590000000000003,0.09
PARANA,2005-05-29,2.184,0.1
RIO GRANDE DO SUL,2005-05-29,2.537,0.099
SANTA CATARINA,2005-05-29,2.367,0.061
DISTRITO FEDERAL,2005-06-05,2.281,0.023
GOIAS,2005-06-05,2.187,0.16
MATO GROSSO,2005-06-05,2.678,0.1
MATO GROSSO DO SUL,2005-06-05,2.472,0.065
ALAGOAS,2005-06-05,2.517,0.065
BAHIA,2005-06-05,2.321,0.115
CEARA,2005-06-05,2.356,0.091
MARANHAO,2005-06-05,2.241,0.125
PARAIBA,2005-06-05,2.29,0.068
PERNAMBUCO,2005-06-05,2.355,0.076
PIAUI,2005-06-05,2.3280000000000003,0.106
RIO GRANDE DO NORTE,2005-06-05,2.26,0.061
SERGIPE,2005-06-05,2.256,0.055
ACRE,2005-06-05,2.6,0.174
AMAPA,2005-06-05,2.419,0.134
AMAZONAS,2005-06-05,2.491,0.046
PARA,2005-06-05,2.408,0.179
RONDONIA,2005-06-05,2.524,0.109
RORAIMA,2005-06-05,2.517,0.049
TOCANTINS,2005-06-05,2.444,0.045
ESPIRITO SANTO,2005-06-05,2.281,0.061
MINAS GERAIS,2005-06-05,2.157,0.139
RIO DE JANEIRO,2005-06-05,2.272,0.108
SAO PAULO,2005-06-05,2.155,0.092
PARANA,2005-06-05,2.134,0.128
RIO GRANDE DO SUL,2005-06-05,2.535,0.098
SANTA CATARINA,2005-06-05,2.366,0.058
DISTRITO FEDERAL,2005-06-12,2.279,0.023
GOIAS,2005-06-12,2.151,0.17600000000000002
MATO GROSSO,2005-06-12,2.685,0.094
MATO GROSSO DO SUL,2005-06-12,2.471,0.059
ALAGOAS,2005-06-12,2.518,0.067
BAHIA,2005-06-12,2.323,0.11
CEARA,2005-06-12,2.28,0.136
MARANHAO,2005-06-12,2.231,0.131
PARAIBA,2005-06-12,2.2880000000000003,0.069
PERNAMBUCO,2005-06-12,2.353,0.078
PIAUI,2005-06-12,2.274,0.145
RIO GRANDE DO NORTE,2005-06-12,2.261,0.062
SERGIPE,2005-06-12,2.263,0.05
ACRE,2005-06-12,2.597,0.17600000000000002
AMAPA,2005-06-12,2.427,0.133
AMAZONAS,2005-06-12,2.486,0.056
PARA,2005-06-12,2.391,0.187
RONDONIA,2005-06-12,2.496,0.122
RORAIMA,2005-06-12,2.517,0.047
TOCANTINS,2005-06-12,2.443,0.046
ESPIRITO SANTO,2005-06-12,2.265,0.071
MINAS GERAIS,2005-06-12,2.168,0.13
RIO DE JANEIRO,2005-06-12,2.261,0.113
SAO PAULO,2005-06-12,2.148,0.094
PARANA,2005-06-12,2.097,0.152
RIO GRANDE DO SUL,2005-06-12,2.532,0.098
SANTA CATARINA,2005-06-12,2.361,0.063
DISTRITO FEDERAL,2005-06-19,2.278,0.025
GOIAS,2005-06-19,2.287,0.105
MATO GROSSO,2005-06-19,2.684,0.099
MATO GROSSO DO SUL,2005-06-19,2.474,0.055
ALAGOAS,2005-06-19,2.517,0.065
BAHIA,2005-06-19,2.313,0.116
CEARA,2005-06-19,2.254,0.15
MARANHAO,2005-06-19,2.219,0.14400000000000002
PARAIBA,2005-06-19,2.287,0.066
PERNAMBUCO,2005-06-19,2.353,0.079
PIAUI,2005-06-19,2.237,0.161
RIO GRANDE DO NORTE,2005-06-19,2.233,0.07400000000000001
SERGIPE,2005-06-19,2.254,0.055
ACRE,2005-06-19,2.594,0.179
AMAPA,2005-06-19,2.424,0.131
AMAZONAS,2005-06-19,2.489,0.066
PARA,2005-06-19,2.399,0.185
RONDONIA,2005-06-19,2.509,0.113
RORAIMA,2005-06-19,2.517,0.041
TOCANTINS,2005-06-19,2.441,0.045
ESPIRITO SANTO,2005-06-19,2.257,0.075
MINAS GERAIS,2005-06-19,2.149,0.14400000000000002
RIO DE JANEIRO,2005-06-19,2.263,0.11
SAO PAULO,2005-06-19,2.149,0.095
PARANA,2005-06-19,2.129,0.134
RIO GRANDE DO SUL,2005-06-19,2.529,0.099
SANTA CATARINA,2005-06-19,2.359,0.064
DISTRITO FEDERAL,2005-06-26,2.267,0.033
GOIAS,2005-06-26,2.281,0.092
MATO GROSSO,2005-06-26,2.684,0.096
MATO GROSSO DO SUL,2005-06-26,2.466,0.058
ALAGOAS,2005-06-26,2.516,0.068
BAHIA,2005-06-26,2.313,0.116
CEARA,2005-06-26,2.228,0.163
MARANHAO,2005-06-26,2.205,0.155
PARAIBA,2005-06-26,2.286,0.067
PERNAMBUCO,2005-06-26,2.354,0.078
PIAUI,2005-06-26,2.421,0.043
RIO GRANDE DO NORTE,2005-06-26,2.214,0.091
SERGIPE,2005-06-26,2.259,0.055
ACRE,2005-06-26,2.584,0.182
AMAPA,2005-06-26,2.428,0.132
AMAZONAS,2005-06-26,2.484,0.053
PARA,2005-06-26,2.382,0.194
RONDONIA,2005-06-26,2.475,0.132
RORAIMA,2005-06-26,2.518,0.038
TOCANTINS,2005-06-26,2.441,0.045
ESPIRITO SANTO,2005-06-26,2.251,0.081
MINAS GERAIS,2005-06-26,2.156,0.13699999999999998
RIO DE JANEIRO,2005-06-26,2.255,0.114
SAO PAULO,2005-06-26,2.144,0.095
PARANA,2005-06-26,2.146,0.113
RIO GRANDE DO SUL,2005-06-26,2.527,0.099
SANTA CATARINA,2005-06-26,2.353,0.07400000000000001
DISTRITO FEDERAL,2005-07-03,2.281,0.019
GOIAS,2005-07-03,2.236,0.113
MATO GROSSO,2005-07-03,2.6830000000000003,0.094
MATO GROSSO DO SUL,2005-07-03,2.466,0.056
ALAGOAS,2005-07-03,2.517,0.066
BAHIA,2005-07-03,2.307,0.121
CEARA,2005-07-03,2.305,0.154
MARANHAO,2005-07-03,2.196,0.163
PARAIBA,2005-07-03,2.259,0.07400000000000001
PERNAMBUCO,2005-07-03,2.355,0.077
PIAUI,2005-07-03,2.337,0.086
RIO GRANDE DO NORTE,2005-07-03,2.253,0.066
SERGIPE,2005-07-03,2.253,0.057
ACRE,2005-07-03,2.579,0.18600000000000005
AMAPA,2005-07-03,2.428,0.132
AMAZONAS,2005-07-03,2.491,0.044
PARA,2005-07-03,2.391,0.19
RONDONIA,2005-07-03,2.489,0.121
RORAIMA,2005-07-03,2.518,0.039
TOCANTINS,2005-07-03,2.443,0.043
ESPIRITO SANTO,2005-07-03,2.23,0.09
MINAS GERAIS,2005-07-03,2.164,0.131
RIO DE JANEIRO,2005-07-03,2.26,0.11
SAO PAULO,2005-07-03,2.151,0.094
PARANA,2005-07-03,2.198,0.1
RIO GRANDE DO SUL,2005-07-03,2.525,0.1
SANTA CATARINA,2005-07-03,2.345,0.077
DISTRITO FEDERAL,2005-07-10,2.276,0.024
GOIAS,2005-07-10,2.324,0.078
MATO GROSSO,2005-07-10,2.685,0.092
MATO GROSSO DO SUL,2005-07-10,2.488,0.047
ALAGOAS,2005-07-10,2.514,0.07
BAHIA,2005-07-10,2.303,0.12
CEARA,2005-07-10,2.438,0.055
MARANHAO,2005-07-10,2.276,0.116
PARAIBA,2005-07-10,2.248,0.084
PERNAMBUCO,2005-07-10,2.359,0.068
PIAUI,2005-07-10,2.334,0.08800000000000001
RIO GRANDE DO NORTE,2005-07-10,2.218,0.073
SERGIPE,2005-07-10,2.262,0.054000000000000006
ACRE,2005-07-10,2.572,0.19
AMAPA,2005-07-10,2.426,0.132
AMAZONAS,2005-07-10,2.486,0.052000000000000005
PARA,2005-07-10,2.385,0.193
RONDONIA,2005-07-10,2.469,0.14
RORAIMA,2005-07-10,2.517,0.039
TOCANTINS,2005-07-10,2.442,0.042
ESPIRITO SANTO,2005-07-10,2.227,0.092
MINAS GERAIS,2005-07-10,2.192,0.114
RIO DE JANEIRO,2005-07-10,2.254,0.115
SAO PAULO,2005-07-10,2.15,0.095
PARANA,2005-07-10,2.219,0.07200000000000001
RIO GRANDE DO SUL,2005-07-10,2.528,0.1
SANTA CATARINA,2005-07-10,2.345,0.076
DISTRITO FEDERAL,2005-07-17,2.275,0.033
GOIAS,2005-07-17,2.329,0.079
MATO GROSSO,2005-07-17,2.6830000000000003,0.092
MATO GROSSO DO SUL,2005-07-17,2.446,0.07400000000000001
ALAGOAS,2005-07-17,2.515,0.067
BAHIA,2005-07-17,2.287,0.129
CEARA,2005-07-17,2.4330000000000003,0.058
MARANHAO,2005-07-17,2.283,0.095
PARAIBA,2005-07-17,2.2230000000000003,0.091
PERNAMBUCO,2005-07-17,2.357,0.069
PIAUI,2005-07-17,2.332,0.085
RIO GRANDE DO NORTE,2005-07-17,2.188,0.08800000000000001
SERGIPE,2005-07-17,2.254,0.057
ACRE,2005-07-17,2.556,0.198
AMAPA,2005-07-17,2.426,0.132
AMAZONAS,2005-07-17,2.491,0.043
PARA,2005-07-17,2.391,0.191
RONDONIA,2005-07-17,2.475,0.131
RORAIMA,2005-07-17,2.517,0.038
TOCANTINS,2005-07-17,2.443,0.044
ESPIRITO SANTO,2005-07-17,2.217,0.101
MINAS GERAIS,2005-07-17,2.19,0.113
RIO DE JANEIRO,2005-07-17,2.26,0.111
SAO PAULO,2005-07-17,2.156,0.092
PARANA,2005-07-17,2.219,0.07
RIO GRANDE DO SUL,2005-07-17,2.567,0.08800000000000001
SANTA CATARINA,2005-07-17,2.332,0.091
DISTRITO FEDERAL,2005-07-24,2.281,0.034
GOIAS,2005-07-24,2.332,0.079
MATO GROSSO,2005-07-24,2.6860000000000004,0.09
MATO GROSSO DO SUL,2005-07-24,2.424,0.091
ALAGOAS,2005-07-24,2.515,0.07
BAHIA,2005-07-24,2.281,0.13
CEARA,2005-07-24,2.428,0.06
MARANHAO,2005-07-24,2.274,0.099
PARAIBA,2005-07-24,2.206,0.1
PERNAMBUCO,2005-07-24,2.354,0.071
PIAUI,2005-07-24,2.332,0.08800000000000001
RIO GRANDE DO NORTE,2005-07-24,2.182,0.09
SERGIPE,2005-07-24,2.26,0.054000000000000006
ACRE,2005-07-24,2.577,0.184
AMAPA,2005-07-24,2.425,0.132
AMAZONAS,2005-07-24,2.486,0.051
PARA,2005-07-24,2.383,0.194
RONDONIA,2005-07-24,2.466,0.142
RORAIMA,2005-07-24,2.517,0.039
TOCANTINS,2005-07-24,2.444,0.043
ESPIRITO SANTO,2005-07-24,2.196,0.119
MINAS GERAIS,2005-07-24,2.197,0.108
RIO DE JANEIRO,2005-07-24,2.256,0.115
SAO PAULO,2005-07-24,2.156,0.092
PARANA,2005-07-24,2.235,0.069
RIO GRANDE DO SUL,2005-07-24,2.556,0.105
SANTA CATARINA,2005-07-24,2.33,0.099
DISTRITO FEDERAL,2005-07-31,2.345,0.017
GOIAS,2005-07-31,2.342,0.068
MATO GROSSO,2005-07-31,2.682,0.092
MATO GROSSO DO SUL,2005-07-31,2.462,0.065
ALAGOAS,2005-07-31,2.514,0.067
BAHIA,2005-07-31,2.273,0.135
CEARA,2005-07-31,2.428,0.059
MARANHAO,2005-07-31,2.272,0.097
PARAIBA,2005-07-31,2.196,0.106
PERNAMBUCO,2005-07-31,2.343,0.083
PIAUI,2005-07-31,2.33,0.086
RIO GRANDE DO NORTE,2005-07-31,2.152,0.11
SERGIPE,2005-07-31,2.253,0.056
ACRE,2005-07-31,2.576,0.185
AMAPA,2005-07-31,2.426,0.135
AMAZONAS,2005-07-31,2.49,0.045
PARA,2005-07-31,2.393,0.19
RONDONIA,2005-07-31,2.468,0.132
RORAIMA,2005-07-31,2.517,0.039
TOCANTINS,2005-07-31,2.446,0.043
ESPIRITO SANTO,2005-07-31,2.268,0.083
MINAS GERAIS,2005-07-31,2.191,0.112
RIO DE JANEIRO,2005-07-31,2.261,0.112
SAO PAULO,2005-07-31,2.16,0.092
PARANA,2005-07-31,2.238,0.07200000000000001
RIO GRANDE DO SUL,2005-07-31,2.544,0.12
SANTA CATARINA,2005-07-31,2.326,0.104
DISTRITO FEDERAL,2005-08-07,2.317,0.056
GOIAS,2005-08-07,2.339,0.068
MATO GROSSO,2005-08-07,2.6860000000000004,0.09
MATO GROSSO DO SUL,2005-08-07,2.488,0.046
ALAGOAS,2005-08-07,2.513,0.07
BAHIA,2005-08-07,2.276,0.132
CEARA,2005-08-07,2.426,0.059
MARANHAO,2005-08-07,2.269,0.1
PARAIBA,2005-08-07,2.188,0.119
PERNAMBUCO,2005-08-07,2.3480000000000003,0.077
PIAUI,2005-08-07,2.329,0.08800000000000001
RIO GRANDE DO NORTE,2005-08-07,2.316,0.063
SERGIPE,2005-08-07,2.258,0.055
ACRE,2005-08-07,2.5610000000000004,0.138
AMAPA,2005-08-07,2.424,0.135
AMAZONAS,2005-08-07,2.483,0.064
PARA,2005-08-07,2.388,0.189
RONDONIA,2005-08-07,2.456,0.146
RORAIMA,2005-08-07,2.517,0.039
TOCANTINS,2005-08-07,2.446,0.043
ESPIRITO SANTO,2005-08-07,2.2880000000000003,0.06
MINAS GERAIS,2005-08-07,2.198,0.108
RIO DE JANEIRO,2005-08-07,2.253,0.116
SAO PAULO,2005-08-07,2.156,0.093
PARANA,2005-08-07,2.249,0.065
RIO GRANDE DO SUL,2005-08-07,2.54,0.122
SANTA CATARINA,2005-08-07,2.339,0.097
DISTRITO FEDERAL,2005-08-28,2.274,0.085
GOIAS,2005-08-28,2.193,0.14400000000000002
MATO GROSSO,2005-08-28,2.667,0.068
MATO GROSSO DO SUL,2005-08-28,2.49,0.047
ALAGOAS,2005-08-28,2.523,0.061
BAHIA,2005-08-28,2.276,0.133
CEARA,2005-08-28,2.42,0.07
MARANHAO,2005-08-28,2.226,0.06
PARAIBA,2005-08-28,2.3040000000000003,0.08199999999999999
PERNAMBUCO,2005-08-28,2.333,0.099
PIAUI,2005-08-28,2.29,0.099
RIO GRANDE DO NORTE,2005-08-28,2.322,0.053
SERGIPE,2005-08-28,2.253,0.059
ACRE,2005-08-28,2.436,0.235
AMAPA,2005-08-28,2.412,0.179
AMAZONAS,2005-08-28,2.49,0.046
PARA,2005-08-28,2.3680000000000003,0.163
RONDONIA,2005-08-28,2.537,0.037000000000000005
RORAIMA,2005-08-28,2.623,0.036000000000000004
TOCANTINS,2005-08-28,2.445,0.037000000000000005
ESPIRITO SANTO,2005-08-28,2.254,0.046
MINAS GERAIS,2005-08-28,2.195,0.107
RIO DE JANEIRO,2005-08-28,2.247,0.117
SAO PAULO,2005-08-28,2.149,0.097
PARANA,2005-08-28,2.235,0.076
RIO GRANDE DO SUL,2005-08-28,2.508,0.118
SANTA CATARINA,2005-08-28,2.367,0.064
DISTRITO FEDERAL,2005-09-04,2.257,0.075
GOIAS,2005-09-04,2.27,0.123
MATO GROSSO,2005-09-04,2.667,0.092
MATO GROSSO DO SUL,2005-09-04,2.475,0.046
ALAGOAS,2005-09-04,2.512,0.067
BAHIA,2005-09-04,2.268,0.13699999999999998
CEARA,2005-09-04,2.422,0.065
MARANHAO,2005-09-04,2.294,0.264
PARAIBA,2005-09-04,2.287,0.099
PERNAMBUCO,2005-09-04,2.354,0.046
PIAUI,2005-09-04,2.4,0.0
RIO GRANDE DO NORTE,2005-09-04,2.321,0.047
SERGIPE,2005-09-04,2.25,0.057
ACRE,2005-09-04,2.537,0.128
AMAPA,2005-09-04,2.405,0.118
AMAZONAS,2005-09-04,2.488,0.048
PARA,2005-09-04,2.36,0.149
RONDONIA,2005-09-04,2.544,0.041
RORAIMA,2005-09-04,2.622,0.039
TOCANTINS,2005-09-04,2.452,0.017
ESPIRITO SANTO,2005-09-04,2.2840000000000003,0.043
MINAS GERAIS,2005-09-04,2.1830000000000003,0.107
RIO DE JANEIRO,2005-09-04,2.267,0.108
SAO PAULO,2005-09-04,2.144,0.094
PARANA,2005-09-04,2.233,0.084
RIO GRANDE DO SUL,2005-09-04,2.533,0.102
SANTA CATARINA,2005-09-04,2.357,0.08900000000000001
DISTRITO FEDERAL,2005-09-11,2.377,0.073
GOIAS,2005-09-11,2.393,0.126
MATO GROSSO,2005-09-11,2.8710000000000004,0.077
MATO GROSSO DO SUL,2005-09-11,2.682,0.078
ALAGOAS,2005-09-11,2.608,0.102
BAHIA,2005-09-11,2.53,0.123
CEARA,2005-09-11,2.5580000000000003,0.12
MARANHAO,2005-09-11,2.378,0.107
PARAIBA,2005-09-11,2.45,0.128
PERNAMBUCO,2005-09-11,2.454,0.099
PIAUI,2005-09-11,2.464,0.175
RIO GRANDE DO NORTE,2005-09-11,2.547,0.07200000000000001
SERGIPE,2005-09-11,2.437,0.059
ACRE,2005-09-11,2.6460000000000004,0.142
AMAPA,2005-09-11,2.487,0.134
AMAZONAS,2005-09-11,2.7030000000000003,0.087
PARA,2005-09-11,2.602,0.16899999999999998
RONDONIA,2005-09-11,2.624,0.112
RORAIMA,2005-09-11,2.624,0.095
TOCANTINS,2005-09-11,2.607,0.073
ESPIRITO SANTO,2005-09-11,2.459,0.07400000000000001
MINAS GERAIS,2005-09-11,2.347,0.122
RIO DE JANEIRO,2005-09-11,2.401,0.141
SAO PAULO,2005-09-11,2.339,0.102
PARANA,2005-09-11,2.428,0.094
RIO GRANDE DO SUL,2005-09-11,2.783,0.094
SANTA CATARINA,2005-09-11,2.499,0.086
DISTRITO FEDERAL,2005-09-18,2.4130000000000003,0.051
GOIAS,2005-09-18,2.3480000000000003,0.135
MATO GROSSO,2005-09-18,2.882,0.08800000000000001
MATO GROSSO DO SUL,2005-09-18,2.67,0.057
ALAGOAS,2005-09-18,2.722,0.062
BAHIA,2005-09-18,2.527,0.12
CEARA,2005-09-18,2.624,0.073
MARANHAO,2005-09-18,2.411,0.099
PARAIBA,2005-09-18,2.456,0.078
PERNAMBUCO,2005-09-18,2.524,0.117
PIAUI,2005-09-18,2.6010000000000004,0.093
RIO GRANDE DO NORTE,2005-09-18,2.541,0.062
SERGIPE,2005-09-18,2.42,0.057
ACRE,2005-09-18,2.759,0.182
AMAPA,2005-09-18,2.532,0.16699999999999998
AMAZONAS,2005-09-18,2.71,0.066
PARA,2005-09-18,2.619,0.174
RONDONIA,2005-09-18,2.532,0.058
RORAIMA,2005-09-18,2.7230000000000003,0.099
TOCANTINS,2005-09-18,2.531,0.102
ESPIRITO SANTO,2005-09-18,2.476,0.046
MINAS GERAIS,2005-09-18,2.353,0.112
RIO DE JANEIRO,2005-09-18,2.403,0.127
SAO PAULO,2005-09-18,2.337,0.093
PARANA,2005-09-18,2.417,0.086
RIO GRANDE DO SUL,2005-09-18,2.7430000000000003,0.095
SANTA CATARINA,2005-09-18,2.5540000000000003,0.07200000000000001
DISTRITO FEDERAL,2005-09-25,2.367,0.031
GOIAS,2005-09-25,2.3,0.157
MATO GROSSO,2005-09-25,2.867,0.103
MATO GROSSO DO SUL,2005-09-25,2.662,0.047
ALAGOAS,2005-09-25,2.72,0.059
BAHIA,2005-09-25,2.523,0.117
CEARA,2005-09-25,2.62,0.068
MARANHAO,2005-09-25,2.544,0.08
PARAIBA,2005-09-25,2.448,0.08
PERNAMBUCO,2005-09-25,2.424,0.15
PIAUI,2005-09-25,2.602,0.068
RIO GRANDE DO NORTE,2005-09-25,2.536,0.054000000000000006
SERGIPE,2005-09-25,2.419,0.054000000000000006
ACRE,2005-09-25,2.748,0.134
AMAPA,2005-09-25,2.533,0.168
AMAZONAS,2005-09-25,2.717,0.042
PARA,2005-09-25,2.4,0.157
RONDONIA,2005-09-25,2.593,0.069
RORAIMA,2005-09-25,2.721,0.034
TOCANTINS,2005-09-25,2.608,0.051
ESPIRITO SANTO,2005-09-25,2.462,0.039
MINAS GERAIS,2005-09-25,2.341,0.114
RIO DE JANEIRO,2005-09-25,2.405,0.128
SAO PAULO,2005-09-25,2.3480000000000003,0.094
PARANA,2005-09-25,2.402,0.081
RIO GRANDE DO SUL,2005-09-25,2.704,0.11
SANTA CATARINA,2005-09-25,2.514,0.08900000000000001
DISTRITO FEDERAL,2005-10-02,2.339,0.05
GOIAS,2005-10-02,2.309,0.152
MATO GROSSO,2005-10-02,2.877,0.096
MATO GROSSO DO SUL,2005-10-02,2.695,0.061
ALAGOAS,2005-10-02,2.724,0.06
BAHIA,2005-10-02,2.509,0.125
CEARA,2005-10-02,2.6180000000000003,0.061
MARANHAO,2005-10-02,2.569,0.03
PARAIBA,2005-10-02,2.422,0.08800000000000001
PERNAMBUCO,2005-10-02,2.553,0.099
PIAUI,2005-10-02,2.604,0.063
RIO GRANDE DO NORTE,2005-10-02,2.536,0.055
SERGIPE,2005-10-02,2.458,0.052000000000000005
ACRE,2005-10-02,2.747,0.134
AMAZONAS,2005-10-02,2.712,0.061
PARA,2005-10-02,2.564,0.155
RONDONIA,2005-10-02,2.659,0.122
RORAIMA,2005-10-02,2.72,0.032
