TP_ESCOLA,TP_ENSINO,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_STATUS_REDACAO,NU_NOTA_REDACAO
1,1.0,SC,23.0,F,0.0,3,561.7,550.2,529.8,498.9,1.0,520.0
2,1.0,CE,18.0,M,0.0,3,593.9,670.4,573.6,735.9,1.0,920.0
1,1.0,RO,19.0,M,0.0,3,638.4,638.7,595.5,758.4,1.0,800.0
2,1.0,MS,17.0,M,0.0,3,504.0,613.9,535.2,694.2,1.0,380.0
1,1.0,CE,18.0,M,0.0,3,501.3,503.9,514.3,541.7,1.0,720.0
1,1.0,RS,35.0,F,1.0,1,483.1,646.2,518.1,497.0,1.0,300.0
1,1.0,BA,32.0,F,0.0,2,559.3,647.9,601.8,576.7,1.0,560.0
1,,GO,15.0,M,0.0,1,544.0,668.7,621.7,684.4,1.0,500.0
1,1.0,BA,21.0,M,0.0,2,489.7,565.6,604.9,667.3,1.0,680.0
1,1.0,PA,26.0,M,0.0,1,443.4,549.7,488.0,564.4,1.0,600.0
2,1.0,MA,18.0,M,0.0,2,568.3,612.8,586.6,585.1,1.0,900.0
1,1.0,PR,18.0,M,0.0,2,542.4,625.0,658.4,725.0,1.0,920.0
1,1.0,BA,21.0,F,0.0,3,465.1,643.7,642.7,639.3,1.0,640.0
2,1.0,SP,17.0,M,0.0,3,617.0,626.6,535.3,566.3,1.0,520.0
1,1.0,RR,17.0,F,0.0,3,517.5,591.0,537.7,562.0,1.0,540.0
1,1.0,RJ,24.0,F,0.0,2,462.9,593.1,594.7,693.3,1.0,740.0
1,1.0,MG,19.0,F,0.0,3,461.6,599.8,547.4,526.2,1.0,540.0
2,1.0,SP,17.0,F,0.0,1,520.0,638.4,551.8,478.3,1.0,760.0
1,1.0,BA,19.0,M,0.0,2,551.0,621.6,595.8,726.1,1.0,920.0
1,1.0,SP,22.0,M,0.0,3,524.1,542.8,525.4,473.6,1.0,500.0
1,1.0,SP,21.0,F,0.0,3,520.0,695.8,672.9,530.3,1.0,800.0
1,3.0,MS,42.0,M,2.0,3,517.9,592.1,566.2,620.5,1.0,500.0
1,1.0,BA,27.0,F,0.0,2,604.7,721.3,389.4,413.7,1.0,580.0
1,1.0,DF,19.0,F,0.0,1,645.3,673.6,661.1,666.2,1.0,800.0
2,1.0,SP,18.0,F,0.0,1,453.6,548.8,474.1,572.0,1.0,540.0
1,1.0,DF,22.0,F,0.0,3,425.1,532.5,489.0,441.5,1.0,600.0
2,3.0,SP,22.0,M,0.0,1,418.5,601.4,536.0,475.4,1.0,620.0
1,1.0,SP,26.0,M,1.0,1,612.9,648.8,567.5,605.4,1.0,520.0
1,1.0,MA,21.0,M,0.0,3,411.9,639.0,537.4,604.9,1.0,960.0
1,1.0,TO,33.0,F,,1,592.0,645.7,585.9,476.1,1.0,620.0
1,1.0,BA,27.0,F,0.0,3,454.8,546.8,429.4,394.4,1.0,480.0
2,1.0,SP,17.0,F,0.0,1,447.1,655.0,602.3,623.4,1.0,620.0
1,1.0,PE,24.0,M,,3,446.6,558.6,496.4,414.5,1.0,520.0
1,1.0,MG,25.0,F,1.0,1,456.9,580.8,549.8,556.1,1.0,520.0
1,1.0,BA,19.0,F,0.0,3,443.0,671.2,612.5,519.8,1.0,600.0
1,1.0,RS,24.0,M,0.0,1,566.8,705.9,643.8,653.3,1.0,860.0
1,1.0,MG,29.0,F,0.0,3,552.7,621.0,554.6,475.6,1.0,640.0
1,1.0,MG,25.0,F,0.0,3,514.5,628.8,606.6,583.6,1.0,340.0
1,1.0,SP,18.0,F,0.0,1,584.7,635.8,593.9,657.0,1.0,800.0
1,1.0,PA,18.0,M,0.0,3,522.9,627.4,553.2,427.0,1.0,360.0
1,1.0,PR,20.0,M,0.0,1,565.7,633.8,634.2,577.5,1.0,680.0
1,,PE,18.0,F,0.0,5,503.9,581.1,516.9,550.2,1.0,360.0
2,1.0,BA,18.0,M,0.0,2,529.9,640.1,587.0,567.5,1.0,600.0
1,1.0,PB,25.0,F,0.0,3,654.1,666.6,588.3,735.6,1.0,820.0
1,1.0,PB,23.0,F,0.0,1,506.5,567.9,518.2,485.0,1.0,440.0
1,1.0,CE,19.0,F,0.0,2,528.3,498.8,623.4,670.9,1.0,620.0
2,1.0,SC,18.0,F,0.0,1,547.4,594.1,596.2,641.5,1.0,640.0
1,1.0,MS,19.0,F,0.0,1,561.8,578.2,630.7,464.8,1.0,720.0
1,1.0,BA,26.0,F,0.0,2,501.8,508.1,452.0,432.5,1.0,580.0
1,1.0,RS,38.0,M,0.0,1,486.7,439.1,511.4,539.3,1.0,540.0
1,1.0,RO,44.0,F,,3,425.9,537.5,470.2,416.5,1.0,280.0
1,1.0,BA,28.0,F,0.0,2,501.9,589.4,521.9,482.2,1.0,500.0
1,1.0,PE,20.0,F,0.0,3,445.8,463.9,418.4,426.9,1.0,300.0
2,1.0,SP,17.0,F,0.0,1,527.5,655.5,606.5,529.1,1.0,700.0
1,1.0,PI,22.0,F,0.0,2,483.4,489.5,461.6,540.5,1.0,280.0
1,,AL,19.0,M,0.0,3,442.4,588.4,547.3,409.3,1.0,500.0
1,1.0,MG,20.0,M,0.0,3,508.5,595.4,481.4,565.3,1.0,380.0
1,1.0,PI,31.0,M,1.0,1,541.0,620.5,543.8,698.4,1.0,540.0
1,1.0,BA,19.0,F,0.0,2,445.1,563.2,544.2,459.2,1.0,340.0
1,3.0,PE,24.0,F,0.0,3,412.5,512.2,385.1,553.6,1.0,260.0
1,,BA,41.0,M,,3,422.5,582.3,548.2,497.1,1.0,480.0
1,1.0,RS,25.0,F,0.0,2,392.7,559.2,510.5,432.7,1.0,380.0
1,1.0,MG,19.0,F,0.0,1,649.6,717.9,640.3,754.9,1.0,920.0
1,1.0,SP,20.0,F,0.0,3,477.5,498.4,479.1,509.7,1.0,260.0
1,1.0,SP,18.0,F,0.0,1,628.2,725.2,660.1,676.6,1.0,920.0
2,1.0,ES,17.0,F,0.0,1,386.3,584.1,479.0,598.0,1.0,540.0
1,1.0,MT,24.0,M,0.0,2,715.7,710.5,697.7,710.9,1.0,820.0
1,1.0,CE,35.0,F,0.0,3,513.5,582.9,510.2,475.1,1.0,520.0
1,1.0,MG,23.0,F,0.0,1,445.4,598.6,526.8,554.1,1.0,360.0
1,1.0,PA,25.0,F,,3,566.9,572.4,539.0,484.1,1.0,620.0
1,1.0,BA,21.0,F,0.0,3,431.2,474.0,448.2,437.9,1.0,620.0
1,1.0,PR,18.0,F,0.0,1,619.4,637.3,573.5,478.6,1.0,360.0
1,1.0,MG,21.0,M,0.0,3,565.3,627.8,580.7,551.3,1.0,620.0
1,3.0,SP,22.0,M,0.0,1,541.6,631.1,593.5,504.5,1.0,580.0
1,1.0,PR,17.0,F,0.0,1,535.2,618.5,607.1,389.6,1.0,540.0
1,1.0,BA,20.0,M,0.0,2,512.1,548.9,509.9,559.0,1.0,500.0
1,1.0,ES,19.0,F,0.0,3,557.0,657.0,595.4,664.5,1.0,620.0
2,1.0,SP,17.0,M,0.0,3,533.4,476.9,507.2,514.8,1.0,420.0
1,1.0,RJ,24.0,F,0.0,3,467.8,645.3,556.0,440.2,1.0,540.0
1,1.0,CE,20.0,F,0.0,3,399.1,462.2,522.1,462.3,1.0,360.0
1,1.0,CE,34.0,M,1.0,1,574.4,721.9,690.0,568.9,1.0,760.0
1,,PE,18.0,F,0.0,3,471.8,482.0,450.7,424.1,1.0,500.0
1,1.0,MG,21.0,M,0.0,3,641.8,681.2,646.7,659.6,1.0,700.0
2,1.0,DF,18.0,F,0.0,1,474.4,562.6,504.8,446.4,1.0,340.0
1,3.0,PB,27.0,F,1.0,1,455.0,434.4,440.7,588.0,1.0,420.0
1,,MG,19.0,F,0.0,3,523.9,532.3,544.7,511.2,1.0,640.0
