TP_ESCOLA,TP_ENSINO,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_STATUS_REDACAO,NU_NOTA_REDACAO
1,1.0,ES,22.0,F,0.0,3,374.7,516.4,483.3,574.2,1.0,320.0
1,,SP,15.0,F,0.0,1,526.5,656.6,622.8,680.6,1.0,740.0
2,1.0,SE,17.0,F,0.0,3,551.8,591.4,526.3,415.5,1.0,420.0
1,1.0,BA,25.0,F,0.0,3,516.0,665.3,565.7,564.9,1.0,520.0
1,,AL,17.0,M,0.0,1,678.7,615.8,595.7,619.8,1.0,780.0
2,1.0,SP,17.0,F,0.0,1,550.5,545.4,553.7,623.6,1.0,880.0
1,1.0,RJ,21.0,F,0.0,2,438.2,509.0,468.5,384.2,8.0,0.0
1,1.0,PA,27.0,F,1.0,3,495.9,592.0,523.8,497.0,1.0,340.0
1,,SP,21.0,F,0.0,1,634.1,632.9,620.2,515.6,1.0,700.0
1,1.0,SP,18.0,F,0.0,1,464.6,571.3,496.5,523.0,1.0,580.0
1,,PE,19.0,M,0.0,1,630.6,635.3,590.7,758.1,1.0,840.0
1,,SP,18.0,M,0.0,1,599.7,691.3,670.5,698.8,1.0,680.0
2,1.0,PI,18.0,M,0.0,3,531.2,407.8,421.5,466.1,1.0,360.0
1,,RR,15.0,M,0.0,1,524.1,552.6,570.2,456.6,1.0,580.0
1,1.0,SP,18.0,F,0.0,1,500.6,604.5,530.0,510.2,1.0,580.0
1,1.0,RS,32.0,F,0.0,1,494.1,649.3,554.8,675.3,1.0,560.0
1,1.0,RJ,19.0,F,0.0,1,485.4,501.1,539.3,513.7,1.0,680.0
1,1.0,DF,21.0,F,0.0,2,537.1,618.7,579.2,583.0,1.0,360.0
1,1.0,SP,20.0,F,0.0,3,483.1,586.9,534.8,477.9,1.0,640.0
1,,MG,19.0,F,0.0,1,663.4,692.1,616.7,567.5,1.0,980.0
1,1.0,SP,41.0,F,1.0,3,449.2,627.2,517.9,578.4,1.0,560.0
1,,PR,30.0,F,,1,621.3,691.5,661.3,816.1,1.0,600.0
1,3.0,BA,50.0,F,1.0,2,392.0,590.1,420.1,434.1,1.0,300.0
1,,PE,18.0,F,0.0,3,560.8,592.6,544.0,585.2,1.0,420.0
2,1.0,RN,17.0,F,0.0,1,518.5,470.0,645.0,528.2,1.0,780.0
1,,RS,23.0,M,0.0,1,519.5,637.4,594.8,465.4,1.0,600.0
1,3.0,RN,21.0,F,0.0,3,406.5,431.7,473.6,391.2,1.0,440.0
1,1.0,RN,31.0,F,0.0,3,507.8,606.1,539.2,525.3,1.0,540.0
1,1.0,MG,33.0,F,0.0,3,401.7,503.1,522.4,465.5,1.0,320.0
2,1.0,SC,18.0,F,0.0,1,456.1,656.4,638.8,616.4,1.0,700.0
1,,BA,18.0,F,0.0,1,392.5,596.9,643.1,570.7,1.0,740.0
2,1.0,CE,17.0,M,0.0,2,491.3,620.0,474.2,468.1,1.0,620.0
1,1.0,PA,21.0,F,0.0,3,421.0,581.0,400.0,407.8,1.0,340.0
1,,MG,31.0,M,1.0,1,522.3,650.9,615.2,544.2,1.0,580.0
1,,AP,17.0,F,0.0,1,470.2,658.4,613.2,689.5,1.0,820.0
1,1.0,PE,30.0,F,1.0,3,550.5,597.2,573.2,405.3,1.0,580.0
1,,MG,26.0,M,1.0,3,485.6,486.8,461.0,398.3,1.0,280.0
1,1.0,RN,20.0,F,0.0,1,505.4,518.5,526.9,579.9,1.0,440.0
1,,RN,28.0,M,0.0,1,619.5,688.7,625.0,776.1,1.0,640.0
1,,DF,40.0,M,1.0,1,534.3,667.0,623.5,596.0,4.0,0.0
1,1.0,AC,31.0,F,0.0,3,543.0,664.9,593.2,497.1,1.0,640.0
1,1.0,PE,18.0,M,0.0,2,470.2,652.9,607.5,532.3,1.0,920.0
1,,SP,24.0,M,1.0,3,510.6,667.0,636.2,477.8,1.0,680.0
1,1.0,CE,26.0,M,0.0,3,442.1,644.4,519.5,715.6,1.0,600.0
1,1.0,SP,32.0,F,0.0,3,521.4,598.3,470.5,496.2,1.0,560.0
1,1.0,MT,18.0,F,0.0,3,440.9,563.5,468.3,404.3,1.0,600.0
1,,PR,41.0,M,0.0,1,365.2,406.3,373.0,385.9,3.0,0.0
1,1.0,MS,50.0,F,1.0,3,481.0,534.5,368.7,435.7,1.0,320.0
2,1.0,PA,19.0,F,0.0,2,390.3,575.1,408.6,445.6,1.0,300.0
1,1.0,SP,17.0,M,0.0,1,693.4,658.1,615.2,708.2,1.0,680.0
1,,RJ,18.0,F,0.0,3,488.9,653.1,584.8,674.9,1.0,820.0
1,,PE,44.0,F,2.0,1,672.9,417.1,596.1,645.0,1.0,400.0
1,1.0,GO,18.0,F,0.0,4,516.9,624.3,573.9,548.6,1.0,520.0
1,1.0,BA,22.0,M,0.0,2,529.9,566.2,486.1,427.7,1.0,480.0
1,1.0,MG,19.0,F,0.0,1,440.6,549.0,449.4,525.6,1.0,380.0
2,3.0,SP,17.0,F,0.0,3,442.4,517.4,538.8,490.0,1.0,420.0
2,1.0,CE,18.0,M,0.0,3,425.5,500.2,486.0,455.9,1.0,240.0
2,1.0,PE,18.0,F,0.0,1,387.6,471.9,575.3,434.0,1.0,540.0
1,1.0,MA,18.0,F,0.0,2,417.0,580.9,513.4,400.3,1.0,620.0
2,1.0,PB,17.0,F,0.0,3,540.2,529.1,530.8,434.0,1.0,980.0
2,1.0,PE,17.0,M,0.0,0,519.8,426.2,613.0,692.4,1.0,740.0
1,1.0,CE,21.0,M,0.0,2,497.1,418.8,512.4,409.0,1.0,560.0
1,,SP,21.0,F,1.0,3,480.7,504.1,560.1,411.1,1.0,340.0
2,1.0,MA,17.0,M,0.0,3,398.2,534.6,429.5,488.1,1.0,460.0
1,,SP,18.0,M,0.0,3,631.6,649.2,558.2,545.7,1.0,820.0
1,,PB,18.0,F,0.0,4,404.0,586.5,526.6,487.9,1.0,540.0
1,1.0,RS,25.0,M,0.0,1,508.0,615.0,478.8,506.6,1.0,440.0
1,1.0,MG,19.0,F,0.0,2,485.4,592.4,525.8,513.5,1.0,680.0
1,1.0,CE,22.0,M,0.0,3,499.7,519.7,484.3,413.2,1.0,340.0
1,1.0,MA,17.0,F,0.0,3,407.4,479.9,515.7,411.7,1.0,480.0
1,1.0,AM,19.0,F,0.0,3,374.7,568.7,524.2,478.2,1.0,460.0
2,1.0,MT,16.0,F,0.0,1,438.3,572.2,586.5,539.7,1.0,380.0
1,,PR,22.0,M,0.0,1,579.4,674.4,640.6,672.0,1.0,720.0
1,,MT,22.0,F,0.0,1,466.0,524.3,459.5,379.1,1.0,660.0
1,,DF,21.0,F,,4,400.3,478.2,419.2,426.9,1.0,240.0
1,1.0,BA,20.0,F,0.0,3,497.6,577.8,614.2,657.7,1.0,620.0
1,,BA,16.0,F,0.0,3,516.3,626.4,580.8,666.8,1.0,720.0
2,1.0,CE,17.0,F,0.0,1,439.2,635.2,559.9,518.0,1.0,740.0
1,1.0,BA,17.0,F,0.0,3,436.5,506.6,486.6,611.3,1.0,580.0
1,1.0,MA,32.0,F,1.0,3,386.5,575.6,551.6,422.5,1.0,440.0
1,,PB,15.0,F,0.0,3,482.9,511.4,547.2,492.6,1.0,820.0
1,,MG,29.0,F,0.0,1,704.9,674.5,578.0,720.2,1.0,880.0
1,1.0,SP,27.0,M,1.0,1,436.2,661.6,599.2,528.1,1.0,480.0
1,1.0,BA,21.0,M,0.0,1,640.4,652.7,568.7,777.2,1.0,800.0
1,1.0,PI,22.0,M,0.0,3,480.7,530.2,479.6,409.7,1.0,400.0
1,1.0,GO,17.0,F,0.0,3,565.3,652.5,567.6,520.7,1.0,740.0
1,,BA,20.0,M,0.0,3,543.4,680.0,588.4,513.9,1.0,640.0
4,1.0,RJ,19.0,F,0.0,2,398.6,427.9,533.1,496.4,1.0,320.0
1,1.0,CE,23.0,F,0.0,3,454.2,575.1,440.2,433.8,1.0,320.0
1,1.0,SP,17.0,F,0.0,2,521.5,555.9,579.8,453.2,1.0,760.0
1,1.0,AM,21.0,F,0.0,3,403.6,482.0,554.2,615.2,3.0,0.0
1,1.0,SP,18.0,F,0.0,1,456.9,438.9,474.6,481.0,1.0,360.0
1,1.0,MG,19.0,M,0.0,3,517.7,433.4,502.9,612.5,1.0,460.0
1,1.0,RN,19.0,F,0.0,1,410.5,590.1,516.0,378.5,1.0,540.0
2,1.0,PB,17.0,F,0.0,1,492.8,640.3,599.9,643.6,1.0,400.0
1,1.0,PB,28.0,M,0.0,3,377.3,485.2,473.8,396.0,1.0,380.0
2,1.0,CE,18.0,F,0.0,1,578.6,620.6,592.2,614.8,1.0,720.0
1,1.0,MG,20.0,F,0.0,1,577.8,641.1,528.0,449.3,1.0,620.0
4,1.0,PE,18.0,F,0.0,1,603.4,,,693.1,,
1,3.0,RN,26.0,F,0.0,2,433.2,540.9,598.4,539.1,1.0,520.0
1,1.0,MA,24.0,M,0.0,3,512.1,655.4,665.4,701.7,1.0,360.0
1,1.0,CE,20.0,F,0.0,1,394.2,470.3,514.0,502.8,1.0,600.0
1,1.0,AM,27.0,F,0.0,3,411.0,585.4,503.2,432.3,1.0,360.0
1,1.0,PE,22.0,M,0.0,2,402.6,410.0,380.5,399.3,1.0,460.0
1,1.0,SP,24.0,F,0.0,1,500.2,530.9,423.3,561.4,1.0,320.0
1,,PR,17.0,M,0.0,2,462.3,624.3,562.0,505.5,1.0,260.0
2,1.0,MG,18.0,F,0.0,3,509.1,526.1,497.2,523.5,1.0,540.0
1,,PE,19.0,F,0.0,3,438.0,524.7,382.1,452.0,1.0,360.0
2,1.0,SP,17.0,F,0.0,3,393.9,585.2,544.7,582.0,1.0,320.0
2,1.0,PE,17.0,F,0.0,1,482.0,511.7,441.4,400.3,1.0,360.0
1,1.0,BA,19.0,F,0.0,1,515.1,529.4,601.7,509.6,1.0,680.0
1,,PI,20.0,F,0.0,2,393.5,473.1,527.4,422.2,1.0,360.0
1,1.0,ES,26.0,F,1.0,1,522.2,546.4,482.2,459.0,1.0,600.0
1,1.0,SP,24.0,F,0.0,1,600.1,669.2,622.2,686.2,1.0,740.0
1,1.0,RJ,21.0,F,0.0,3,685.5,691.4,655.5,579.9,1.0,940.0
1,1.0,PE,18.0,F,0.0,3,586.1,589.0,517.9,589.0,1.0,420.0
2,1.0,SP,17.0,F,0.0,1,455.9,537.0,455.6,452.5,1.0,480.0
2,1.0,SP,17.0,F,0.0,1,522.5,608.2,589.8,601.6,1.0,580.0
1,,CE,21.0,M,0.0,1,584.3,697.5,668.2,795.6,1.0,700.0
1,,PA,19.0,F,0.0,3,456.6,576.7,526.2,436.3,1.0,580.0
1,1.0,MA,22.0,M,0.0,3,572.3,633.8,588.3,715.4,1.0,520.0
2,1.0,PB,20.0,F,0.0,3,453.5,555.9,574.4,450.3,1.0,540.0
1,1.0,GO,23.0,M,0.0,3,424.0,594.7,483.9,442.5,1.0,640.0
2,1.0,BA,21.0,F,1.0,3,388.7,445.0,366.4,398.7,1.0,260.0
2,1.0,GO,18.0,F,0.0,3,391.0,534.0,367.4,601.2,1.0,380.0
1,,SE,17.0,F,0.0,2,459.9,608.0,502.4,467.1,1.0,700.0
1,1.0,SP,27.0,F,0.0,1,543.6,646.2,609.0,667.7,1.0,480.0
1,1.0,PE,18.0,F,0.0,1,628.7,699.0,614.4,678.1,1.0,920.0
1,1.0,RJ,25.0,F,1.0,1,517.6,669.8,600.7,584.4,1.0,740.0
1,1.0,RN,19.0,F,0.0,1,576.8,603.4,530.1,439.0,1.0,840.0
1,1.0,AL,23.0,M,1.0,2,440.8,433.7,453.0,383.1,1.0,340.0
1,1.0,BA,26.0,M,0.0,2,562.3,524.3,539.4,533.2,1.0,400.0
1,,SC,20.0,M,0.0,3,418.0,596.8,564.7,505.7,1.0,680.0
1,1.0,PA,22.0,M,0.0,2,450.7,546.1,479.5,514.7,1.0,520.0
4,1.0,MG,17.0,F,0.0,2,461.8,634.9,579.8,512.3,1.0,600.0
1,,RO,20.0,F,0.0,3,434.8,550.1,557.7,546.8,1.0,580.0
1,1.0,BA,19.0,M,0.0,2,424.1,499.2,512.6,514.7,1.0,620.0
1,1.0,PI,19.0,F,0.0,3,466.6,445.3,407.9,443.5,1.0,580.0
1,1.0,PI,20.0,F,0.0,3,416.8,610.4,454.4,491.3,1.0,700.0
1,1.0,SP,19.0,F,0.0,1,550.2,670.0,646.7,577.6,1.0,620.0
1,1.0,BA,18.0,F,0.0,3,428.5,570.3,553.0,590.3,1.0,660.0
1,1.0,PA,20.0,M,0.0,3,431.1,482.0,456.6,481.0,1.0,380.0
1,,RS,27.0,F,1.0,2,470.9,576.4,557.2,507.5,1.0,340.0
1,,AM,16.0,M,0.0,3,640.4,646.3,600.3,715.3,1.0,760.0
1,1.0,PE,19.0,F,0.0,3,604.8,456.9,417.5,538.6,1.0,620.0
2,3.0,PI,35.0,M,1.0,2,505.0,457.6,452.6,435.0,1.0,260.0
1,1.0,AL,20.0,F,0.0,1,547.5,629.8,557.0,575.9,1.0,720.0
1,1.0,MG,20.0,F,0.0,3,547.2,623.8,623.4,494.0,1.0,620.0
2,1.0,CE,18.0,M,0.0,3,493.0,577.3,409.0,488.9,1.0,300.0
2,1.0,PR,18.0,M,0.0,1,532.0,654.4,598.9,529.1,1.0,600.0
1,1.0,MG,32.0,M,0.0,3,510.1,554.6,488.6,491.6,1.0,300.0
1,,SP,23.0,M,0.0,3,398.8,558.1,435.1,443.5,1.0,400.0
1,,PE,25.0,M,1.0,1,444.8,536.8,533.7,390.7,1.0,460.0
1,1.0,GO,26.0,M,0.0,3,465.4,475.7,560.4,654.0,1.0,520.0
1,2.0,CE,48.0,F,0.0,3,514.1,612.3,552.7,444.5,1.0,600.0
1,1.0,MG,18.0,F,0.0,1,587.4,651.0,623.7,570.1,1.0,820.0
2,1.0,RN,18.0,F,0.0,1,617.4,0.0,0.0,452.2,4.0,0.0
2,1.0,PA,19.0,M,0.0,5,402.3,492.9,488.6,518.3,1.0,340.0
1,1.0,RN,41.0,F,1.0,3,486.5,654.6,587.0,453.0,1.0,340.0
2,3.0,PA,23.0,M,0.0,4,419.1,445.3,356.6,392.6,1.0,280.0
1,1.0,RJ,18.0,F,0.0,2,524.8,500.0,511.2,546.9,1.0,700.0
1,,SP,21.0,F,0.0,1,422.5,577.8,503.1,394.9,1.0,520.0
1,1.0,PE,20.0,F,0.0,3,424.2,437.3,547.8,561.2,1.0,420.0
2,1.0,SP,18.0,F,0.0,0,464.2,570.8,550.1,537.0,1.0,300.0
1,1.0,CE,23.0,M,0.0,3,591.8,635.6,628.5,681.5,1.0,620.0
1,1.0,RN,19.0,F,0.0,1,566.1,630.5,585.0,519.9,1.0,520.0
2,1.0,BA,19.0,M,0.0,3,524.9,628.7,503.8,627.9,1.0,760.0
1,,RN,17.0,F,0.0,1,383.7,596.8,438.6,489.4,1.0,480.0
1,1.0,PE,64.0,M,0.0,1,485.0,498.7,472.2,405.8,6.0,0.0
2,1.0,MS,18.0,F,0.0,1,541.0,585.1,524.8,610.7,1.0,720.0
1,1.0,RJ,23.0,F,0.0,1,490.2,620.7,598.5,426.7,1.0,260.0
1,,RJ,18.0,F,0.0,1,510.4,657.6,601.3,715.5,1.0,680.0
1,1.0,CE,17.0,M,0.0,1,533.8,632.8,583.9,608.1,1.0,900.0
2,1.0,PE,17.0,F,0.0,3,403.4,523.8,530.2,519.7,1.0,500.0
1,,CE,20.0,M,0.0,1,516.0,631.1,597.1,689.7,1.0,760.0
1,,SP,19.0,F,0.0,1,645.3,723.8,658.6,757.0,1.0,980.0
1,,CE,19.0,M,0.0,3,642.8,671.6,609.3,749.3,1.0,840.0
2,1.0,SC,19.0,F,0.0,1,423.1,572.5,391.4,613.3,1.0,320.0
1,,PE,16.0,F,0.0,3,387.8,422.7,466.3,382.9,1.0,280.0
1,1.0,GO,24.0,F,0.0,3,457.5,459.2,512.6,470.2,1.0,400.0
1,1.0,MA,20.0,F,0.0,3,430.5,571.0,460.0,508.8,1.0,560.0
1,1.0,BA,18.0,F,0.0,3,451.1,433.4,413.1,612.4,1.0,700.0
1,1.0,DF,20.0,F,0.0,3,570.8,680.7,582.1,650.1,1.0,520.0
1,1.0,PE,19.0,F,0.0,3,406.1,591.1,433.4,484.5,1.0,280.0
1,,SP,30.0,F,0.0,3,406.5,547.9,469.5,397.5,1.0,320.0
1,,PI,18.0,F,0.0,3,502.6,487.0,373.0,406.9,1.0,500.0
1,1.0,SP,18.0,M,0.0,3,635.8,648.2,591.4,652.1,1.0,760.0
1,1.0,RS,32.0,M,,1,573.0,657.1,593.2,642.2,1.0,580.0
1,,CE,19.0,F,0.0,4,535.6,564.5,565.7,523.7,1.0,280.0
1,1.0,MA,18.0,M,0.0,3,676.2,674.2,637.2,717.8,1.0,900.0
2,1.0,BA,22.0,M,0.0,2,525.1,440.6,459.3,434.2,1.0,680.0
1,1.0,SP,17.0,M,0.0,1,609.0,679.6,612.6,728.2,1.0,920.0
2,1.0,SE,18.0,F,0.0,3,457.2,461.7,496.4,544.7,1.0,540.0
1,1.0,PA,39.0,M,0.0,3,507.7,562.9,498.1,384.5,1.0,320.0
1,1.0,SP,20.0,M,0.0,3,482.3,654.0,583.1,672.9,1.0,800.0
1,,RS,18.0,F,0.0,1,550.9,593.9,571.8,649.5,1.0,360.0
2,1.0,RJ,17.0,F,0.0,3,470.1,656.1,611.0,420.6,1.0,720.0
1,3.0,GO,24.0,F,0.0,3,507.2,517.1,524.5,554.2,1.0,540.0
1,1.0,RN,20.0,F,0.0,2,566.6,638.6,615.2,682.5,1.0,640.0
1,,ES,24.0,F,0.0,1,589.4,631.6,557.0,471.3,1.0,920.0
1,,TO,18.0,F,0.0,4,412.0,532.3,538.6,463.5,1.0,680.0
1,1.0,SC,20.0,F,0.0,1,756.7,716.1,668.3,816.5,1.0,900.0
1,1.0,DF,19.0,F,0.0,3,434.3,647.8,606.4,692.8,1.0,640.0
1,,RJ,20.0,M,0.0,1,568.3,646.1,597.0,671.0,1.0,500.0
2,1.0,MG,17.0,M,0.0,3,404.9,609.9,397.5,546.9,1.0,440.0
1,1.0,CE,19.0,F,0.0,3,530.0,591.4,509.4,477.2,1.0,440.0
1,1.0,PA,23.0,F,,3,465.8,462.0,489.7,470.8,1.0,400.0
1,1.0,SE,19.0,F,,2,487.7,603.8,538.8,524.5,1.0,580.0
1,1.0,MG,20.0,F,0.0,1,594.5,676.3,654.1,472.9,1.0,940.0
2,1.0,CE,16.0,F,0.0,3,460.7,527.0,473.0,542.7,1.0,560.0
1,,PE,37.0,M,1.0,3,498.7,619.2,570.4,532.9,1.0,480.0
1,,PE,26.0,M,0.0,3,544.2,688.5,645.1,690.7,1.0,680.0
1,1.0,MS,18.0,M,0.0,2,562.0,675.3,622.1,556.8,1.0,640.0
1,1.0,PB,44.0,F,1.0,3,424.2,603.7,536.9,383.9,1.0,580.0
1,,ES,21.0,M,0.0,0,451.6,493.3,480.7,431.6,1.0,360.0
1,1.0,SP,25.0,F,0.0,2,496.0,428.3,412.6,484.1,1.0,440.0
1,1.0,PE,19.0,F,0.0,1,520.9,652.5,588.7,487.1,1.0,500.0
1,1.0,BA,20.0,F,0.0,3,447.6,555.8,517.2,507.7,1.0,720.0
1,,MG,23.0,F,0.0,1,514.5,589.2,514.5,609.4,1.0,440.0
1,,PA,18.0,F,0.0,1,402.0,591.0,507.5,537.8,1.0,320.0
1,1.0,GO,26.0,F,0.0,4,552.2,686.8,522.6,465.4,1.0,840.0
3,1.0,SP,18.0,F,0.0,3,478.6,536.1,619.1,657.7,1.0,580.0
1,1.0,RS,21.0,F,0.0,1,507.5,534.3,461.4,420.2,1.0,480.0
1,1.0,SC,27.0,F,0.0,1,452.8,511.2,458.0,567.6,1.0,220.0
1,,RJ,26.0,F,0.0,2,484.0,561.9,524.2,425.2,1.0,620.0
1,1.0,MG,28.0,F,1.0,1,526.6,666.6,561.0,650.6,1.0,660.0
1,1.0,RN,38.0,F,0.0,1,493.8,610.4,517.4,512.6,1.0,660.0
1,,PA,16.0,F,0.0,3,427.9,613.6,474.5,541.4,1.0,380.0
1,,MA,15.0,F,0.0,3,551.7,583.0,507.3,479.6,1.0,340.0
1,1.0,SP,17.0,M,0.0,3,431.6,581.6,474.6,421.7,1.0,280.0
2,1.0,SP,18.0,M,0.0,3,389.6,424.9,469.5,501.4,1.0,280.0
1,,RJ,21.0,F,0.0,3,648.5,697.1,649.8,742.9,1.0,880.0
1,1.0,PR,22.0,M,0.0,1,604.3,592.9,604.2,555.1,1.0,680.0
1,,BA,17.0,M,0.0,1,530.5,436.4,491.5,432.6,1.0,560.0
1,1.0,GO,19.0,F,0.0,1,569.6,631.7,618.8,461.7,1.0,720.0
1,1.0,DF,55.0,F,2.0,3,569.7,597.9,595.7,590.7,1.0,880.0
1,1.0,ES,30.0,M,1.0,1,469.2,580.7,562.1,547.9,1.0,540.0
1,,PR,18.0,F,0.0,1,502.1,622.9,581.9,495.8,1.0,760.0
1,1.0,AC,19.0,M,0.0,3,512.4,619.5,517.4,438.6,1.0,620.0
1,,PA,18.0,F,0.0,3,422.1,502.6,518.9,444.9,1.0,380.0
1,,RS,27.0,M,0.0,1,463.8,556.5,489.8,448.9,1.0,520.0
1,1.0,RN,19.0,M,0.0,1,558.9,600.9,510.3,491.5,1.0,540.0
2,1.0,PI,18.0,F,0.0,3,433.7,408.4,487.3,562.8,1.0,560.0
1,1.0,SP,23.0,F,1.0,3,393.4,438.3,457.6,538.1,1.0,340.0
1,,GO,21.0,M,0.0,2,765.1,736.7,707.2,814.5,1.0,980.0
1,1.0,BA,29.0,M,0.0,3,459.4,507.1,436.5,409.9,1.0,720.0
2,1.0,RN,18.0,F,0.0,3,525.8,631.4,594.7,511.9,1.0,780.0
2,1.0,RS,18.0,F,0.0,1,451.5,557.2,441.4,454.4,1.0,560.0
2,1.0,CE,17.0,M,0.0,3,564.5,676.6,604.9,652.9,1.0,580.0
1,,SP,19.0,F,0.0,1,730.9,719.7,635.0,797.4,1.0,920.0
1,,PB,18.0,F,0.0,1,419.0,518.9,461.4,545.9,1.0,560.0
1,1.0,SP,25.0,M,0.0,1,513.2,587.4,559.8,616.5,1.0,460.0
2,3.0,SP,21.0,M,1.0,3,394.8,490.4,445.3,421.5,1.0,240.0
2,1.0,CE,18.0,F,0.0,3,399.7,544.4,532.9,642.6,1.0,760.0
1,1.0,RO,43.0,M,0.0,3,474.3,464.3,520.7,414.3,1.0,500.0
2,1.0,GO,18.0,F,0.0,1,510.5,494.0,439.3,513.7,1.0,580.0
1,,CE,16.0,F,0.0,1,487.1,548.0,515.1,463.8,1.0,660.0
1,1.0,BA,23.0,F,0.0,2,496.2,568.4,537.5,516.5,1.0,580.0
1,1.0,MG,20.0,F,0.0,3,491.6,623.8,569.7,549.3,1.0,580.0
1,1.0,RJ,30.0,F,0.0,1,514.4,662.7,580.4,561.0,1.0,560.0
1,1.0,RN,27.0,M,0.0,4,447.4,591.8,604.7,411.3,1.0,780.0
1,1.0,MG,53.0,F,1.0,2,489.2,603.0,531.5,476.3,6.0,0.0
1,1.0,MA,18.0,F,0.0,1,466.6,538.1,563.5,570.7,1.0,660.0
1,1.0,PR,25.0,F,0.0,1,571.6,557.6,453.0,406.7,1.0,560.0
2,1.0,AL,17.0,M,0.0,3,552.8,601.8,550.2,641.3,1.0,560.0
1,3.0,SC,27.0,F,1.0,1,405.9,558.1,473.7,374.3,1.0,360.0
1,1.0,MG,18.0,F,0.0,1,424.1,603.4,502.6,506.2,1.0,560.0
2,1.0,PR,17.0,F,0.0,1,535.7,555.7,540.5,527.2,1.0,320.0
2,1.0,CE,17.0,M,0.0,1,472.0,589.3,541.9,554.5,1.0,560.0
2,1.0,GO,17.0,M,0.0,3,485.4,478.6,525.6,428.3,1.0,520.0
1,1.0,AM,35.0,F,1.0,3,432.1,571.5,412.5,515.2,1.0,280.0
1,,RJ,18.0,F,0.0,3,622.2,672.6,614.9,620.0,1.0,880.0
1,1.0,SP,20.0,F,0.0,1,507.0,543.0,574.3,537.9,1.0,700.0
1,,RS,20.0,F,0.0,1,521.5,613.8,554.2,618.2,1.0,440.0
4,3.0,PI,18.0,M,0.0,3,426.9,544.9,500.7,549.2,1.0,680.0
1,,GO,49.0,M,,3,504.1,600.3,492.8,531.4,1.0,380.0
1,,MG,28.0,F,0.0,3,587.5,629.1,603.7,551.9,1.0,340.0
2,1.0,BA,18.0,M,0.0,2,504.3,623.1,584.7,536.4,1.0,340.0
1,,RJ,19.0,F,0.0,2,576.9,650.9,592.0,513.2,1.0,740.0
1,1.0,AP,37.0,F,0.0,2,448.2,563.8,465.8,428.4,1.0,300.0
2,1.0,PE,17.0,F,,2,537.3,674.2,640.4,507.2,1.0,620.0
1,1.0,GO,19.0,F,0.0,2,579.6,633.7,597.1,652.8,1.0,600.0
1,3.0,BA,26.0,M,0.0,3,418.5,574.6,535.2,638.2,1.0,480.0
1,1.0,PR,18.0,F,0.0,1,654.4,746.0,702.8,794.6,1.0,800.0
1,1.0,BA,20.0,F,0.0,2,397.1,528.0,423.4,433.1,1.0,480.0
1,1.0,SC,18.0,F,0.0,1,427.1,438.6,408.8,527.3,1.0,580.0
1,1.0,RN,21.0,M,0.0,1,508.4,588.9,500.4,515.0,1.0,540.0
2,1.0,SP,18.0,M,0.0,1,527.3,514.7,435.6,508.2,1.0,600.0
1,1.0,GO,19.0,F,0.0,3,563.4,640.6,590.6,532.5,1.0,440.0
1,1.0,PA,20.0,F,0.0,3,446.1,544.2,463.8,416.3,1.0,640.0
1,1.0,CE,27.0,M,0.0,3,390.8,432.7,485.8,434.8,1.0,720.0
1,,CE,20.0,F,0.0,3,546.7,404.8,506.2,608.9,1.0,360.0
2,1.0,MG,18.0,F,0.0,3,514.9,580.2,553.9,583.0,1.0,500.0
1,1.0,PE,22.0,F,0.0,1,478.9,596.9,600.6,497.8,1.0,500.0
4,1.0,SP,17.0,F,0.0,1,528.5,648.2,636.4,632.4,1.0,780.0
1,,RJ,21.0,F,0.0,2,395.4,418.0,498.7,563.8,1.0,380.0
1,1.0,PI,41.0,F,1.0,2,557.2,697.2,621.8,444.4,1.0,340.0
4,1.0,DF,17.0,M,0.0,0,590.3,655.4,593.8,604.1,1.0,620.0
2,1.0,RO,20.0,F,0.0,3,367.0,455.2,364.0,372.4,1.0,660.0
1,,BA,20.0,F,0.0,3,468.2,559.3,540.2,481.2,1.0,360.0
1,,SP,25.0,F,0.0,3,498.7,607.6,499.7,426.2,1.0,680.0
1,1.0,CE,39.0,M,1.0,3,503.5,626.7,559.3,497.9,1.0,680.0
1,1.0,CE,19.0,F,0.0,3,513.0,523.9,462.2,497.0,1.0,640.0
1,,RJ,23.0,F,0.0,1,685.0,710.3,664.0,733.4,1.0,700.0
1,3.0,AM,28.0,F,,3,521.3,572.4,519.0,493.4,1.0,360.0
1,,RS,35.0,M,0.0,1,626.8,618.2,621.1,711.0,1.0,600.0
1,1.0,PA,19.0,F,0.0,0,550.6,632.6,613.7,593.8,1.0,420.0
1,,MG,17.0,M,0.0,3,436.4,413.8,436.6,410.0,1.0,340.0
1,,SP,24.0,M,0.0,3,382.2,498.4,420.4,432.3,1.0,280.0
1,,ES,19.0,F,0.0,0,469.1,485.6,484.3,503.3,1.0,540.0
4,1.0,SP,19.0,M,0.0,1,594.8,632.3,608.3,530.7,1.0,500.0
1,1.0,SP,18.0,F,0.0,3,471.5,605.6,557.4,564.2,1.0,600.0
1,,SP,20.0,M,0.0,1,365.8,623.6,522.1,442.1,1.0,520.0
2,1.0,PE,18.0,F,0.0,3,425.2,558.1,553.4,464.1,1.0,520.0
